# RFI station list — official station names, the single source shared by iOS and backend.
#
# Source:    https://iechub.rfi.it/ArriviPartenze/ — the <select name="PlaceId"> station picker,
#            RFI's own authoritative list (same ids the live monitor uses).
# Extracted: 2026-08-31
# Entries:   2435 at extraction time.
#
# THIS IS A DATED SNAPSHOT, NOT A PERPETUAL TRUTH. Nothing guarantees RFI's
# list is stable, so the entry count is not a constant to rely on. Never assert
# the count in a test — assert properties (uniqueness, injectivity, known
# anchors). A count assertion proves nothing while it passes and breaks on any
# upstream change.
#
# Names are RFI's, verbatim, with ONE typographic normalization: where RFI
# types a backtick standing in for an apostrophe, it becomes an apostrophe
# (so "CITTA DI CASTELLO" carries a real apostrophe after CITTA).
# Structure is never touched — spacing, hyphens and slashes stay as RFI writes
# them. Regenerate with tools/generate-rfi-stations-tsv.mjs; never hand-edit.
#
# placeId	name
1169	CONTIGLIANO
1170	CONTURSI TERME
1174	CORBETTA-S.STEFANO TICINO
1175	CORBEZZI
1178	CORDOVADO SESTO
49	CORIGLIANO CALABRO
1180	CORMONS
233	CORNIGLIA
1182	CORNINO
1183	CORNUDA
1184	CORONELLA
1185	CORRIDONIA MOGLIANO
1186	CORSANO
1187	CORSICO
1188	CORTEOLONA
50	COSENZA
1189	COSIO TRAONA
1190	COSSATO
1192	COSTA
1193	COSTA MASNAGA
1194	COSTIGLIOLE (MOTTA DI)
1195	COSTIGLIOLE D'ASTI
1196	COSTIGLIOLE SALUZZO
1197	COTIGNOLA
1201	CREMA
1202	CREMONA
1203	CRESCENTINO
1204	CRESPINO DEL LAMONE
1205	CRESSA FONTANETO
1206	CREVALCORE
51	CROPANI
52	CROTONE
53	CRUCOLI
1208	CUCCIAGO
1211	CUNEO
1212	CUNEO GESSO
1213	CUNICO SCANDELUZZA
1214	CUPONE
1215	CUPRAMARITTIMA
1216	CUREGGIO
54	CURINGA
1217	CUSANO
55	CUTRO
1218	CUZZAGO (MI)
3208	CUZZAGO (NO)
1223	DECIMOMANNU
1224	DEGO
234	DEIVA MARINA
1225	DELEBIO
1227	DERBY
5441	DERUTA
1228	DERVIO
1229	DESENZANO DEL GARDA-SIRMIONE
1230	DESIO
56	DIAMANTE BUONVICINO
4502	DIANO
1240	DICOMANO
1241	DIECIMO-PESCAGLIA
1246	DITTAINO
1247	DOBBIACO
1251	DOLO
1252	DOMEGLIARA-S.AMBROGIO
1253	DOMODOSSOLA
1255	DONNAFUGATA
1256	DONNAS
1258	DORIO
1259	DORMELLETTO
1260	DORMELLETTO PAESE
1261	DOSSOBUONO
1263	DUBINO
3199	DUCA D'AOSTA
1265	DUEVILLE
1371	DUGENTA - FRASSO TELESINO
3513	DUOMO VIA VERNIERI
1266	EBOLI
1267	ECA NASAGO'
1268	EGNA-TERMENO
1270	ELLERA CORCIANO
1048	ELMAS AEROPORTO
1271	EMPOLI
1272	ENAS
1273	ENNA
1275	EQUI TERME
1276	ESTE
2288	EUROPA PES
1281	FABRIANO
1282	FABRIANO CA' MAIANO
1284	FABRO-FICULLE
1286	FAE'-FORTOGNA
1285	FAENZA
3405	FAGARE'
1287	FAGNANO CAMPANA
1288	FALCIANO-MONDRAGONE-CARINOLA
1289	FALCONARA
1291	FALCONARA MARITTIMA
3577	FALCONARA STADIO
1292	FALCONE
59	FALERNA
5442	FANCIULLATA
1293	FANNA-CAVASSO
1294	FANO
1295	FANZOLO
1296	FARA
1297	FARA SABINA-MONTELIBRETTI
1299	FASANO
60	FAVAZZINA
1302	FEDERICO
1303	FELEGARA-S.ANDREA BAGNI
5024	FELETTO
1304	FELIZZANO
1306	FELTRE
1307	FERENTINO-SUPINO
1308	FERRANDINA SCALO-MATERA
237	FERRANIA
1309	FERRARA
1311	FERRERA LOMELLINA
62	FERRUZZANO
644	FICARAZZI
3351	FIDENE
1317	FIDENZA
1318	FIERA
4040	FIERA DI ROMA
3415	FIESOLE CALDINE
1319	FIGLINE VALDARNO
1320	FILATTIERA
1322	FILIANO
238	FINALE LIGURE MARINA
1324	FIORENZUOLA
1312	FIRENZE CAMPO MARTE
1314	FIRENZE CASTELLO
1315	FIRENZE RIFREDI
3369	FIRENZE ROVEZZANO
1325	FIRENZE SANTA MARIA NOVELLA
1316	FIRENZE STATUTO
1326	FISCIANO
3151	FIUMARA GAZZI
63	FIUMEFREDDO BRUZIO
1328	FIUMEFREDDO DI SICILIA
1329	FIUMELATTE
1330	FIUMETORTO
1327	FIUMICINO AEROPORTO
1333	FIVIZZANO ROMETTA-SOLIERA
1332	FIVIZZANO-GASSANO
1334	FOGGIA
1335	FOGNANO
1336	FOLIGNO
1337	FOLLONICA
1338	FONDI-SPERLONGA
1339	FONTAN SAORGE
1341	FONTANA LIRI
1340	FONTANA LIRI INFERIORE
1342	FONTANAFREDDA
1343	FONTANAROSA-CERVARO
4087	FONTANE BIANCHE
1344	FONTANETTO PO
1345	FONTANIVA
1346	FONTECCHIO
1348	FORENZA
1349	FORGARIA BAGNI ANDUINS
1350	FORLI'
1351	FORLIMPOPOLI-BERTINORO
1352	FORMIA-GAETA
1353	FORNACI DI BARGA
1354	FORNOVO
1355	FORTE DEI MARMI-SERAVEZZA-QUERCETA
1356	FORTEZZA
1357	FOSCIANDORA-CESERANA
1359	FOSSACESIA-TORINO DI SANGRO
1360	FOSSALTA DI PIAVE
1362	FOSSANO
1363	FOSSATO DI VICO GUBBIO
1364	FRAGNETO MONFORTE
239	FRAMURA
1367	FRANCAVILLA AL MARE
64	FRANCAVILLA ANGITOLA-FILADELFIA
1366	FRANCAVILLA FONTANA
1369	FRANCIOSA
1370	FRASCATI
3349	FRASSO
1372	FRATTA
5446	FRATTA TODINA
1373	FRATTAMAGGIORE-GRUMO
1375	FRATTE
1376	FRATTE CENTRO
5143	FRATTE VILLA COMUNALE
1377	FROSINONE
240	FRUGAROLO BOSCOMARENGO
5168	FUNGHERA
3518	FUNO CENTERGROSS
5454	FURAPANE
1381	FURCI
65	FUSCALDO
1386	GAGGIANO
3162	GAGGIO PORTA EST
1388	GAGLIOLE
1389	GAIBANELLA
1390	GAIFANA
1391	GALATI
1393	GALLARATE
1396	GALLESE IN TEVERINA
1397	GALLIERA
1398	GALLIERA VENETA TOMBOLO
1401	GAMBETTOLA
1402	GAMBOLO'-REMONDO'
1404	GARBAGNA
1405	GARESSIO
3504	GARGAZZONE
1407	GARLASCO
1408	GATTEO A MARE
1409	GATTINARA
1410	GAVIGNANO SABINO
1411	GAVORRANO
1413	GAZZADA SCHIANNO MORAZZONE
1414	GAZZO DI BIGARELLO
1415	GAZZO PIEVE S.GIACOMO
1416	GELA
1417	GELA-ANIC
2380	GEMELLI
1419	GEMONA DEL FRIULI
1420	GENGA S.VITTORE TERME
242	GENOVA ACQUASANTA
